station,latitude,longitude,water_depth,years_active
DP06,54.67166667,-130.8298333,328,1991|1992
DP11,50.05666667,-125.2353333,32,1987|1988
DP15,54.6105,-131.3223333,90,1991|1992
DPN1,49.96333333,-125.1446667,150,2008|2009
Dev1,53.57723333,-128.8541,163,2015|2016
E01,49.28832833,-126.6035167,144,1979|1980|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022
E01C,49.355,-126.59,36,1989
E02,49.26666667,-126.9,99999,1979|1980
E03,49.09489667,-126.9343967,400,1979|1980|1990|1991|1992|1993|1994|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2021|2022
E04,48.96333333,-127.3183333,2057,1979|1980
E05,48.80166667,-127.5883333,2539,1979|1980
E1,49.35783333,-126.7183333,95,1989|1995
E1A,49.335,-126.7383333,112,1980
E1B,49.32,-126.7116667,113,1980
E2A,49.25,-126.8666667,156,1979|1980
E2B,49.155,-127.03,512,1980
E3A,49.06833333,-127.07,1260,1979|1980
E600,69.555,-131.4,33,1992
E800,69.98333333,-129.1216667,30,1992
EF04,49.06446667,-125.1517667,105,2008|2009|2010|2011|2012|2013|2014|2015|2016|2017
EF04-D,49.06446667,-125.1517667,105,2008|2009
EF04-G,49.06431667,-125.1517667,105,2010|2011
EF04-H,49.06441667,-125.1518,110,2011|2012
EF04-I,49.06423333,-125.1515667,97.3,2012|2013
ENP4,48.65661667,-126.6513,1314,1997|1998
ENP8,48.81526667,-128.64675,2525,1997|1998
EP01,51.067,-127.7671667,94,1995
EP01S,51.06016667,-127.7591667,95,1995
EP1,49.24166667,-127.035,201,1981|1982
EP2,49.245,-127.0366667,203,1982
EP3,49.245,-127.0366667,202,1982
ER WASP-1,48.42918333,-128.9004333,2239,2000
ER WASP-2,47.95868333,-128.0923667,2176,2000
ER-WASP-2,47.9585,-129.09235,2137,1998
ER01,48.95166667,-129.1033333,2200,1988|2000
ER02,47.92833333,-129.1183333,2100,1988
ER03-G1,47.94175,-129.0918333,2135,2003|2004
ER03-N1,47.96175,-129.0956833,2080,2003|2004
ER03-N3,47.9577,-129.0889167,2122,2003|2004|2005|2006
ER03-S2,47.9348,-129.1044667,2176,2003|2004
ER03-S4,47.93336667,-129.0985,2124,2003|2004
ER04-N1,47.96175,-129.0957333,2095,2004|2005
ER04-N2,47.95866667,-129.0930333,2175,2004|2005
ER04-N3,47.95773333,-129.0890167,2120,2004|2005
ER04-Y1,47.97386667,-129.0876,2046,2004|2005
ER04-Y2,47.97316667,-129.0842333,2140,2004|2005
ER04-Y3,47.97253333,-129.0809167,2120,2004|2005
ER05-G1,47.94178333,-129.0918667,2130,2005|2006
ER2001-c,47.9589,-129.093,2164,2001
ER2001-n,47.9875,-129.0719667,2160,2001
ER2001-s,47.9351,-129.103,2175,2001
ER2001-south,47.9351,-129.103,2175,2001
ER95,47.94983333,-129.0935,2095,1995|1996
ERA1,47.95016667,-129.086,2130,1994
ERA2,47.94533333,-129.0896667,2110,1994|1995
ERJD,47.95333333,-129.095,2200,1995
ES1,53.08961667,-129.5582333,181,2014|2015
ES1-A,53.08961667,-129.5582333,181,2014|2015
ESP1,49.82673333,-127.0050333,58,2016|2017
ESP2,49.86714667,-126.84965,234,2017|2018
ESP3,49.79692,-127.4604633,81,2017|2018
EXPLORER,48.996,-130.904,1600,2017|2107
Er05-G1,47.94178333,-129.0918667,2130,2005|2006
Er05-N2,47.9587,-129.0932333,2250,2005|2006
Er05-Y2,47.98065,-129.08425,2150,2005|2006
F,48.99833333,-127.2691667,2030,1993|1994
F1,48.41666667,-125.2333333,192,1985
F2,48.48666667,-125.175,147,1985
F3,48.47833333,-125.3233333,161,1985
F4,48.37833333,-125.36,126,1985
F5,48.325,-125.2216667,191,1985
F6,48.39833333,-125.1083333,117,1985
FF1,69.895,-133.96,10,1988
FF2,69.97,-133.66,20,1988
FF3,70.03833333,-133.6833333,30.5,1988
FOC1,53.734985,-129.0238983,369,2013|2014|2015|2016|2020|2021
FR1,49.10333333,-123.2916667,255,1978
FRA1,49.16,-122.9416667,-1,1977
FRA2,49.16166667,-122.9433333,-1,1977
FS,50.78418333,-126.6130833,334,2001|2002
FS-3,50.78433333,-126.6134667,334,2001|2002
FS-4,50.7842,-126.61325,336,2002
FS-5,50.78465,-126.6128333,335,2002
Fortune1,49.22075,-125.7649667,94,2017|2018
Frederick,51.0486,-126.7312333,219,2002|2003
G,49.65033333,-127.6391667,550,1993|1994|1995
G01,51.60066667,-128.8833333,50,1982
G03,51.51,-128.8818333,52,1982
G04,51.44716667,-128.8825,158,1982
G05,51.3625,-128.9146667,240,1982
G06,51.48966667,-129.4685,107,1982
G07,51.66566667,-128.6041667,39,1982
G5A,51.3545,-128.8733333,-1,1982
GAL,48.97,-123.4316667,-1,1979
GMS,49.18166667,-123.4966667,-1,1982
GNE,49.18333333,-123.4916667,-1,1982
GOWGAIA,52.39355,-131.7130833,751,2017|2018
GRC1,53.545945,-129.6172367,95,2019|2020
GSCM1,48.74116667,-123.1396,150,1996|1997|1998
GSCM2,48.84753333,-123.1174,210,1996|1997|1998
GSCM3,49.10041667,-123.4927333,350,1996|1997|1998|1999
GSCM4,49.26676667,-123.7748833,408,1996|1997|1998
GSW,49.17833333,-123.5,-1,1982
H01,53.48166667,-130.77,162,1977
H02,53.68833333,-130.525,99999,1977
H04,52.70833333,-131.3683333,137,1983
H181,48.50666667,-123.155,293,1976
H182,48.50166667,-123.1666667,284,1976
H183,48.49666667,-123.1733333,284,1976
H184,48.49333333,-123.185,284,1976
H185,48.49166667,-123.19,235,1976
H186,48.485,-123.2016667,135,1976
H187,48.47666667,-123.22,136,1976
H188,48.49833333,-123.1866667,234,1976
HAK1,51.711965,-128.2360783,143,2016|2017|2018|2019|2020|2021|2022
HAK1-A,51.71195,-128.2359167,144,2016|2017
HARO96E,48.65233333,-123.1708333,136,1996
HARO96M,48.56,-123.2033333,272,1996
HARO96N,48.625,-123.2253333,244,1996
HARO96S,48.50066667,-123.1675,273,1996
HC11,50.203,-125.1341667,135,1987|1988
HEC,76.365,-110.8766667,-1,1975|1976
HEC1,52.82073333,-129.84595,132,2013|2014|2015|2016
HEC1-A,52.82073333,-129.84595,132,2013|2014
HERSCH1,70.02,-138.575,280,1984|1985
HERSCH2,69.96,-137.85,127,1984|1985
HIEK1,52.8705,-128.4906667,12,1992
HP05,52.22266667,-130.9361667,204,1990|1991
HP06,51.955,-130.505,444,1990|1991
HP07,52.025,-130.865,234,1990|1991
HP11,53.90416667,-130.9045,75,1991|1992
HP12,53.90616667,-131.2491667,26,1991
HP13,54.10883333,-131.5155,21,1991
HP14,52.35566667,-129.3335,99,1995
HP14S,52.36133333,-129.3333333,94,1995
HSC1,49.37171667,-126.2461833,53,2016|2017
HV,47.97583333,-129.0811667,2170,1991
HVUS,47.951,-129.097,2170,1991
Havik,70.347,-132.258,34,1984
IN01,49.31666667,-122.94,36,1974|1975
INNE,49.11666667,-124.8166667,99999,1979
IO00,49.20333333,-123.3033333,-1,1976
IO01,49.19666667,-123.3466667,-1,1976
IO02,49.205,-123.4016667,-1,1976
IVIK#4,69.92,-133.3866667,20,1986
